notifications/error	An error has occurred	Une erreur est survenue	ocorreu um erro	Se ha producido un error	C'è stato un errore	오류가 발생했습니다	Произошла ошибка	Bir hata oluştu	Es ist ein Fehler aufgetreten										
notifications/warning	Warning	Votre attention s'il vous plaît	Aviso	Advertencia	Avvertimento	경고	Внимание	Uyarı	Warnung										
notifications/info	For your information	Pour information	Para a sua informação	Para tu información	Per vostra informazione	귀하의 정보를 위해	Для справки	Bilginiz için	Zu Ihrer Information										
websites/success/update	Congratulations, the project has been updated!	Félicitations, le projet a été mis à jour!	Parabéns, o projeto foi atualizado!	Felicitaciones, ¡el proyecto se ha actualizado!	Congratulazioni, il progetto è stato aggiornato!	축하합니다. 프로젝트가 업데이트되었습니다!	Поздравляем, проект обновлен!	Tebrikler, proje güncellendi!	Herzlichen Glückwunsch, das Projekt wurde aktualisiert!										
websites/success/create	Congratulations, the project has been created!	Félicitations, le projet a été créé!	Parabéns, o projeto foi criado!	Felicitaciones, ¡se ha creado el proyecto!	Congratulazioni, il progetto è stato creato!	축하합니다. 프로젝트가 만들어졌습니다!	Поздравляем, проект создан!	Tebrikler, proje oluşturuldu!	Herzlichen Glückwunsch, das Projekt ist fertig!										
pages/title	Pages to index	Les pages à indexer	Páginas para indexar	Páginas para indexar	Pagine da indice	색인 페이지	Страницы к индексу	Dizine eklenecek sayfalar	Seiten zum Index										
pages/filter/placeholder	Filter by name	Filter par nom	Filtre por nome	Filtrar por nombre	Filtro per nome	이름 별 필터	Фильтр по имени	İsme göre filtrele	Nach Namen filtern										
pages/add-pages-modal/title	Add pages to be indexed	Ajouter des pages à indexer	Adicione páginas a serem indexadas	Agregar páginas para ser indexadas	Aggiungi pagine da indicizzare	색인화 할 페이지를 추가합니다	Добавление страниц для индексирования	Dizine eklenecek sayfaları ekleme	Zu indizierende Seiten hinzufügen										
pages/add-pages-modal/description	To add pages to be indexed, please add the urls in the tag below. The urls must be separated by a line break.	Pour ajouter des pages à indexer, veuillez ajouter, dans la balise ci-dessous les urls. Les urls doivent être séparées par un saut à la ligne.	Para adicionar páginas a serem indexadas, adicione os URLs na tag abaixo. Os URLs devem ser separados por uma quebra de linha.	Para agregar páginas para ser indexadas, agregue las URL en la etiqueta a continuación. Las URL deben estar separadas por un descanso de línea.	Per aggiungere pagine da indicizzare, aggiungi gli URL nel tag qui sotto. Gli URL devono essere separati da una pausa di linea.	인덱싱 할 페이지를 추가하려면 아래 태그에 URL을 추가하십시오. URL은 라인 브레이크로 분리되어야합니다.	Чтобы добавить страницы для индексации, пожалуйста, добавьте их в тег ниже. Урлы должны быть разделены символом переноса строки.	İndekslenecek sayfaları eklemek için lütfen URL'leri aşağıdaki etikete ekleyin. URL'ler satır sonu ile ayrılmalıdır.	Um Seiten hinzuzufügen, die indiziert werden sollen, fügen Sie bitte die URLs in den unten stehenden Tag ein. Die URLs müssen durch einen Zeilenumbruch getrennt werden.										
pages/add-pages-modal/sitemap	Load pages from the sitemap	Charger les pages depuis le sitemap	Carregue páginas do mapa do site	Cargar páginas desde el mapa del sitio	Carica le pagine dalla sitemap	사이트 맵에서 페이지를로드합니다	Загрузка страниц из карты сайта	Site haritasından sayfa yükleme	Laden von Seiten aus der Sitemap										
pages/add-pages-modal/add	Add	Ajouter	Adicionar	Agregar	Aggiungere	추가하다	Добавить	Ekle	hinzufügen										
pages/add-pages-modal/cancel	Cancel	Annuler	Cancelar	Cancelar	Annulla	취소	Отмена	İptal	Abbrechen										
navigation/pages	Pages	Pages	Páginas	Páginas	Pagine	페이지	Страницы	Sayfalar	Seiten										
navigation/settings	Settings	Paramètres	Configurações	Ajustes	Impostazioni	설정	Настройки	Ayarlar	Einstellungen										
navigation/change	Select another website	Changer de site web	Selecione outro site	Seleccione otro sitio web	Seleziona un altro sito Web	다른 웹 사이트를 선택하십시오	Выберите другой сайт	Başka bir web sitesi seçin	Wählen Sie eine andere Website										
indexation/modal/message	pages indexed	pages indexées	páginas indexadas	Páginas indexadas	pagine indicizzate	페이지가 색인화되었습니다	проиндексированные страницы	indekslenen sayfalar	indizierte Seiten										
index/confirm/title	Start indexing the selected pages?	Lancer l'indexation des pages sélectionnées ?	Comece a indexar as páginas selecionadas?	Comenzar a indexar las páginas seleccionadas?	Iniziare a indicizzare le pagine selezionate?	선택한 페이지를 색인화 하시겠습니까?	Начать индексирование выбранных страниц?	Seçilen sayfaları indekslemeye başlayın mı?	Mit der Indizierung der ausgewählten Seiten beginnen?										
index/confirm/description	We remind you that you are limited to 200 pages per day. Once the quota is reached, an error message will appear. You will have to wait until the next day to index the pages that have not been sent.	Nous vous rappelons que vous êtes limité à 200 pages par jours. Une fois le quota atteint, un message d'erreur apparaîtra. Il faudra attendre le lendemain pour indexer les pages qui n'auront pas été envoyées.	Lembramos que você está limitado a 200 páginas por dia. Quando a cota for alcançada, uma mensagem de erro será exibida. Você terá que esperar até o dia seguinte para indexar as páginas que não foram enviadas.	Le recordamos que está limitado a 200 páginas por día. Una vez que se alcanza la cuota, aparecerá un mensaje de error. Tendrá que esperar hasta el día siguiente para indexar las páginas que no se han enviado.	Ti ricordiamo che sei limitato a 200 pagine al giorno. Una volta raggiunta la quota, apparirà un messaggio di errore. Dovrai aspettare fino al giorno successivo per indicizzare le pagine che non sono state inviate.	우리는 당신이 하루에 200 페이지로 제한되어 있음을 상기시켜줍니다. 할당량에 도달하면 오류 메시지가 나타납니다. 보내지 않은 페이지를 색인하려면 다음 날까지 기다려야합니다.	Напоминаем вам, что вы ограничены 200 страницами в день. Как только квота будет достигнута, появится сообщение об ошибке. Вам придется подождать до следующего дня, чтобы проиндексировать не отправленные страницы.	Günlük 200 sayfa ile sınırlı olduğunuzu hatırlatırız. Kotaya ulaşıldığında bir hata mesajı görüntülenecektir. Gönderilmemiş sayfaları indekslemek için bir sonraki güne kadar beklemeniz gerekecektir.	Wir erinnern Sie daran, dass Sie auf 200 Seiten pro Tag beschränkt sind. Sobald das Kontingent erreicht ist, erscheint eine Fehlermeldung. Sie müssen dann bis zum nächsten Tag warten, um die nicht gesendeten Seiten zu indizieren.										
indexing/confirm/submit	Yes, start indexation	Oui, lancer l'indexation	Sim, inicie a indexação	Sí, inicie la indexación	Sì, Avvia l'indicizzazione	예, 인덱스를 시작하십시오	Да, начать индексацию	Evet, endekslemeye başlayın	Ja, Indexierung beginnen										
indexing/confirm/cancel	Cancel	Annuler	Cancelar	Cancelar	Annulla	취소	Отмена	İptal	Abbrechen										
navigation/dashboard	Dashboard	Accueil	Painel	Panel	Pannello di controllo	계기반	Приборная панель	Gösterge Tablosu	Dashboard										
pages/title	Pages of the website	Pages du site web	Páginas do site	Páginas del sitio web	Pagine del sito Web	웹 사이트의 페이지	Страницы сайта	Web sitesinin sayfaları	Seiten der Website										
pages/description	This page allows you to see your pages and index them manually. You can search for pages using the form. You can also filter the pages by indexing status or with the advanced filters.	Cette page vous permet de voir vos pages et de les indexer manuellement. Vous pouvez rechercher des pages à l'aide du formulaire. Vous pouvez également filtrer les pages par état d'indexation ou avec les filtres avancés.	Esta página permite que você veja suas páginas e as indexe manualmente. Você pode procurar páginas usando o formulário. Você também pode filtrar as páginas por indexação do status ou com os filtros avançados.	Esta página le permite ver sus páginas e indexarlas manualmente. Puede buscar páginas usando el formulario. También puede filtrar las páginas indexando el estado o con los filtros avanzados.	Questa pagina ti consente di vedere le tue pagine e indicizzarle manualmente. Puoi cercare pagine usando il modulo. È inoltre possibile filtrare le pagine indicizzando lo stato o con i filtri avanzati.	이 페이지를 사용하면 페이지를보고 수동으로 색인 할 수 있습니다. 양식을 사용하여 페이지를 검색 할 수 있습니다. 인덱싱 상태 또는 고급 필터로 페이지를 필터링 할 수도 있습니다.	На этой странице можно просмотреть свои страницы и проиндексировать их вручную. Поиск страниц осуществляется с помощью формы. Также можно отфильтровать страницы по статусу индексации или с помощью расширенных фильтров.	Bu sayfa sayfalarınızı görmenizi ve manuel olarak indekslemenizi sağlar. Formu kullanarak sayfaları arayabilirsiniz. Ayrıca sayfaları indeksleme durumuna göre veya gelişmiş filtrelerle filtreleyebilirsiniz.	Auf dieser Seite können Sie Ihre Seiten einsehen und manuell indizieren. Sie können über das Formular nach Seiten suchen. Sie können die Seiten auch nach Indizierungsstatus oder mit den erweiterten Filtern filtern.										
pages/filter/input/placeholder	Filter by name	Filtrer par nom	Filtre por nome	Filtrar por nombre	Filtro per nome	이름 별 필터	Фильтр по имени	İsme göre filtrele	Nach Namen filtern										
pages/filter/submit	Submit	Rechercher	Enviar	Entregar	Invia	제출하다	Отправить	Gönder	Einreichen										
pages/filter/indexed/tooltip	Show only indexed	Afficher uniquement les indexées	Mostrar apenas indexado	Mostrar solo indexado	Mostra solo indicizzato	색인 만 표시합니다	Показывать только индексированные	Yalnızca dizinlenmişleri göster	Nur indizierte Daten anzeigen										
pages/filter/not-indexed/tooltip	Show only not indexed	Afficher uniquement les non indexées	Mostrar apenas não indexado	Mostrar solo no indexado	Mostra solo non indicizzato	색인이 표시되지 않음을 보여줍니다	Показать только не индексированные	Yalnızca dizine eklenmemiş olanları göster	Nur nicht indizierte Anzeigen										
pages/filter/open-all/tooltip	Open info for all	Ouvrir des informations	Abra informações para todos	Abra la información para todos	Apri informazioni per tutti	모두를위한 개방형 정보	Открытая информация для всех	Herkes için açık bilgi	Offene Informationen für alle										
pages/filter/close-all/tooltip	Close info for all	Fermer des informations	Informações próximas para todos	Información cercana para todos	Close informazioni per tutti	모두를위한 정보를 닫습니다	Близкая информация для всех	Herkes için yakın bilgi	Infos für alle schließen										
pages/item/action/index	Start indexing	Commencer l'indexation	Inicie a indexação	Comenzar a indexación	Inizia l'indicizzazione	인덱싱을 시작하십시오	Запуск индексации	İndekslemeye başlayın	Indizierung starten										
pages/item/action/see-info	See the information	Voir les informations	Veja a informação	Ver la información	Vedere le informazioni	정보를 참조하십시오	См. информацию	Bilgileri görün	Siehe die Informationen										
pages/item/action/close-info	Close the information	Fermer les informations	Feche a informação	Cierre la información	Chiudi le informazioni	정보를 닫으십시오	Закрыть информацию	Bilgileri kapatın	Schließen Sie die Informationen										
pages/item/action/visit	Visit the page	Visiter la page	Visite a página	Visite la página	Visita la pagina	페이지를 방문하십시오	Посетите страницу	Sayfayı ziyaret edin	Besuchen Sie die Seite										
pages/item/action/check-manually	Check manually	Vérifier manuellement	Verifique manualmente	Comprobar manualmente	Controlla manualmente	수동으로 확인하십시오	Проверьте вручную	Manuel olarak kontrol edin	Manuell prüfen										
reports/indexed/title	Indexed	Indexées	Indexado	Indexado	Indicizzato	색인	Индексируемый	Endeksli	Indiziert										
reports/indexed/description	All pages that are indexed on Google.	Toutes les pages indexées sur Google.	Todas as páginas indexadas no Google.	Todas las páginas que están indexadas en Google.	Tutte le pagine indicizzate su Google.	Google에서 인덱싱 된 모든 페이지.	Все страницы, которые индексируются в Google.	Google'da dizine eklenen tüm sayfalar.	Alle Seiten, die bei Google indexiert sind.										
reports/indexed/percentage	{percentage}% of pages are indexed	{percentage}% des pages sont indexés	{porcentagem}% das páginas são indexadas	{porcentaje}% de las páginas están indexadas	{percentuale}% delle pagine sono indicizzate	{백분율} 페이지의%가 색인화됩니다	Проиндексировано {процент}% страниц	Sayfaların {yüzde}%'si dizine eklenmiştir	{Prozentsatz}% der Seiten sind indiziert										
reports/title	Reports and statistics	Rapports et statistiques	Relatórios e estatísticas	Informes y estadísticas	Rapporti e statistiche	보고서 및 통계	Отчеты и статистика	Raporlar ve istatistikler	Berichte und Statistiken										
reports/description	In this page you can find different statistics about the indexing status of your site. You can also see the pages whose content has been updated recently.	Dans cette page, vous pouvez trouver différentes statistiques sur l'état de l'indexation de votre site. Vous pouvez également voir les pages dont le contenu a été mis à jour récemment.	Nesta página, você pode encontrar estatísticas diferentes sobre o status de indexação do seu site. Você também pode ver as páginas cujo conteúdo foi atualizado recentemente.	En esta página puede encontrar diferentes estadísticas sobre el estado de indexación de su sitio. También puede ver las páginas cuyo contenido se ha actualizado recientemente.	In questa pagina puoi trovare diverse statistiche sullo stato di indicizzazione del tuo sito. Puoi anche vedere le pagine il cui contenuto è stato aggiornato di recente.	이 페이지에서는 사이트의 인덱싱 상태에 대한 다양한 통계를 찾을 수 있습니다. 최근 콘텐츠가 업데이트 된 페이지를 볼 수도 있습니다.	На этой странице представлена различная статистика о состоянии индексации вашего сайта. Здесь же можно увидеть страницы, содержимое которых было обновлено в последнее время.	Bu sayfada sitenizin indekslenme durumu hakkında farklı istatistikler bulabilirsiniz. Ayrıca içeriği son zamanlarda güncellenen sayfaları da görebilirsiniz.	Auf dieser Seite finden Sie verschiedene Statistiken über den Indizierungsstatus Ihrer Website. Sie können auch die Seiten sehen, deren Inhalt kürzlich aktualisiert wurde.										
reports/pages-recently/title	Pages with recently updated content	Pages dont le contenu a été mis à jour récemment	Páginas com conteúdo atualizado recentemente	Páginas con contenido recientemente actualizado	Pagine con contenuti recentemente aggiornati	최근에 업데이트 된 콘텐츠가있는 페이지	Страницы с недавно обновленным содержимым	Son güncellenen içeriğe sahip sayfalar	Seiten mit kürzlich aktualisiertem Inhalt										
reports/pages-recently/description	We retrieve your sitemap every day and we look at the date of update of the page. Here is the list of recently updated pages. With this information, we will be able in the future to automatically index the created or modified pages.	Nous récupérons votre sitemap tous les jours et nous regardons la date de mise à jour de la page. Voici la liste des pages mises à jour récemment. Avec cette information, nous pourrons dans l’avenir indexer automatiquement les pages créées ou modifiées.	Recuperamos seu mapa do site todos os dias e analisamos a data da atualização da página. Aqui está a lista de páginas atualizadas recentemente. Com essas informações, poderemos indexar automaticamente as páginas criadas ou modificadas.	Recuperamos su mapa del sitio todos los días y observamos la fecha de actualización de la página. Aquí está la lista de páginas recientemente actualizadas. Con esta información, podremos en el futuro indexar automáticamente las páginas creadas o modificadas.	Recuviamo la tua sitemap ogni giorno e esaminiamo la data di aggiornamento della pagina. Ecco l'elenco delle pagine recentemente aggiornate. Con queste informazioni, saremo in grado in futuro di indicizzare automaticamente le pagine create o modificate.	우리는 매일 당신의 사이트 맵을 검색하고 페이지 업데이트 날짜를 살펴 봅니다. 다음은 최근에 업데이트 된 페이지 목록입니다. 이 정보를 통해 향후 생성 된 페이지를 자동으로 색인 할 수 있습니다.	Мы получаем карту сайта каждый день и смотрим на дату обновления страницы. Здесь представлен список недавно обновленных страниц. Имея эту информацию, мы сможем в будущем автоматически индексировать созданные или измененные страницы.	Site haritanızı her gün alıyoruz ve sayfanın güncellenme tarihine bakıyoruz. İşte son güncellenen sayfaların listesi. Bu bilgilerle, gelecekte oluşturulan veya değiştirilen sayfaları otomatik olarak dizine ekleyebileceğiz.	Wir rufen Ihre Sitemap jeden Tag ab und prüfen das Datum der Aktualisierung der Seite. Hier ist die Liste der kürzlich aktualisierten Seiten. Mit diesen Informationen werden wir in Zukunft in der Lage sein, die erstellten oder geänderten Seiten automatisch zu indizieren.										
reports/pages-recently/more	See all pages	Voir toutes les pages	Veja todas as páginas	Ver todas las páginas	Vedi tutte le pagine	모든 페이지를 참조하십시오	Посмотреть все страницы	Tüm sayfalara bakın	Alle Seiten anzeigen										
reports/not-indexed/title	Not indexed	Pas indexées	Não indexado	No indexado	Non indicizzato	색인이 없습니다	Не индексируется	Endekslenmemiş	Nicht indiziert										
reports/not-indexed/description	All pages that are not indexed on Google.	Toutes les pages non indexées sur Google.	Todas as páginas que não são indexadas no Google.	Todas las páginas que no están indexadas en Google.	Tutte le pagine che non sono indicizzate su Google.	Google에서 색인되지 않은 모든 페이지.	Все страницы, которые не индексируются в Google.	Google'da dizine eklenmeyen tüm sayfalar.	Alle Seiten, die bei Google nicht indiziert sind.										
reports/not-indexed/percentage	{percentage}% of pages are not indexed	{percentage}% des pages ne sont pas indexées	{porcentagem}% das páginas não são indexadas	{porcentaje}% de las páginas no están indexadas	{percentuale}% delle pagine non sono indicizzati	{백분율} 페이지의%가 색인화되지 않았습니다	{процент}% страниц не индексируются	Sayfaların {yüzde}%'si dizine eklenmiyor	{Prozentsatz}% der Seiten werden nicht indiziert										
pages/info/updated-at	Page updated at	Page mise à jour le	Página atualizada em	Página actualizada en	Pagina aggiornata a	페이지가 업데이트되었습니다	Страница обновлена на	Sayfa şu adreste güncellendi	Seite aktualisiert am										
selection/title	Select a website	Sélection du site web	Selecione um site	Seleccione un sitio web	Seleziona un sito Web	웹 사이트를 선택하십시오	Выберите веб-сайт	Bir web sitesi seçin	Wählen Sie eine Website										
selection/description	Foudroyer automatically retrieves your sites from the Search Console. By activating a site, our system will check the indexation of your url automatically and regularly.	Foudroyer récupère automatiquement vos sites depuis la Search Console. En activant un site, notre système vérifiera l'indexation de votre URL automatiquement et régulièrement.	O Foudroyer recupera automaticamente seus sites no console de pesquisa. Ao ativar um site, nosso sistema verificará a indexação do seu URL automaticamente e regularmente.	Foudroyer recupera automáticamente sus sitios de la consola de búsqueda. Al activar un sitio, nuestro sistema verificará la indexación de su URL de forma automática y regular.	FouDroyer recupera automaticamente i tuoi siti dalla console di ricerca. Attivando un sito, il nostro sistema controllerà l'indicizzazione dell'URL automaticamente e regolarmente.	Foudroyer는 검색 콘솔에서 사이트를 자동으로 검색합니다. 사이트를 활성화함으로써 당사 시스템은 URL의 인덱스를 자동으로 정기적으로 점검합니다.	Foudroyer автоматически извлекает ваши сайты из Search Console. Активировав сайт, наша система будет автоматически и регулярно проверять индексацию вашего url.	Foudroyer, sitelerinizi Search Console'dan otomatik olarak alır. Bir siteyi etkinleştirerek, sistemimiz url'nizin indekslenmesini otomatik ve düzenli olarak kontrol edecektir.	Foudroyer holt Ihre Seiten automatisch aus der Search Console. Wenn Sie eine Seite aktivieren, wird unser System die Indexierung Ihrer URL automatisch und regelmäßig überprüfen.										
selection/description/warning	Only sites that you own can be selected and indexed.	Seuls les sites que vous possédez peuvent être sélectionnés et indexés.	Somente sites que você possui podem ser selecionados e indexados.	Solo los sitios que posee se pueden seleccionar e indexar.	Solo i siti che possiedi possono essere selezionati e indicizzati.	귀하가 소유 한 사이트 만 선택 및 색인화 할 수 있습니다.	Выбирать и индексировать можно только те сайты, которые принадлежат вам.	Yalnızca sahip olduğunuz siteler seçilebilir ve dizine eklenebilir.	Nur Websites, die Sie besitzen, können ausgewählt und indiziert werden.										
selection/item/actions/activate	Activate the website	Activer le site web	Ative o site	Activar el sitio web	Attiva il sito Web	웹 사이트를 활성화하십시오	Активировать сайт	Web sitesini etkinleştirin	Aktivieren Sie die Website										
selection/item/actions/select	Select	Sélectionner	Selecione	Seleccionar	Selezionare	선택하다	Выберите	Seçiniz	Wählen Sie										
selection/no-more-google-site	You have no more sites to add from Search Console.	Vous n'avez plus aucun site à ajouter depuis la Search Console.	Você não tem mais sites para adicionar do console de pesquisa.	No tiene más sitios para agregar de la consola de búsqueda.	Non hai più siti da aggiungere dalla console di ricerca.	검색 콘솔에서 추가 할 사이트가 없습니다.	У вас больше нет сайтов для добавления из Search Console.	Search Console'dan eklenecek başka siteniz yok.	Sie können keine weiteren Websites über die Search Console hinzufügen.										
selection/no-site	You don't have any website added on Google Search Console. You can't use Foudroyer with this account.	Vous n'avez aucun siteweb ajouté sur la Search Console de Google. Vous ne pouvez pas utiliser Foudroyer avec ce compte là.	Você não tem nenhum site adicionado no console de pesquisa do Google. Você não pode usar o Foudroyer com esta conta.	No tiene ningún sitio web agregado en la consola de búsqueda de Google. No puedes usar Foudroyer con esta cuenta.	Non hai alcun sito Web aggiunto sulla console di ricerca di Google. Non puoi usare FouDroyer con questo account.	Google 검색 콘솔에 웹 사이트가 추가되지 않습니다. 이 계정에서는 Foudroyer를 사용할 수 없습니다.	У вас нет ни одного сайта, добавленного в Google Search Console. Вы не можете использовать Foudroyer с этой учетной записью.	Google Search Console'da ekli herhangi bir web siteniz yok. Bu hesapla Foudroyer'ı kullanamazsınız.	Sie haben keine Website in der Google Search Console eingetragen. Sie können Foudroyer nicht mit diesem Konto verwenden.										
selection/logout	Sign in with another account	Se connecter avec un autre compte	Faça login com outra conta	Iniciar sesión con otra cuenta	Accedi con un altro account	다른 계정으로 로그인하십시오	Войти в систему с другой учетной записью	Başka bir hesapla oturum açın	Mit einem anderen Konto anmelden										
selection/item/actions/visit	Visite the website	Visiter le site web	Visite o site	Visite el sitio web	Visitare il sito web	웹 사이트를 방문하십시오	Посетите сайт	Web sitesini ziyaret edin	Besuchen Sie die Website										
signin/title	Index your pages like never before	Indexez vos pages comme jamais auparavant	Indexe suas páginas como nunca antes	Indexe tus páginas como nunca antes	Indicizzare le tue pagine come mai prima d'ora	이전과는 다른 페이지를 색인하십시오	Индексируйте свои страницы как никогда раньше	Sayfalarınızı daha önce hiç olmadığı gibi dizine ekleyin	Indexieren Sie Ihre Seiten wie nie zuvor										
signin/description	Foudroyer allows you to index at lightning speed and track the tracking the indexing status of all your pages.	Foudroyer vous permet d'indexer à la vitesse de la lumière et de suivre le suivi de l'état de l'indexation de toutes vos pages et bien plus encore !	O Foudroyer permite indexar na velocidade de raio e rastrear o rastreamento do status de indexação de todas as suas páginas.	Foudroyer le permite indexar a la velocidad del rayo y rastrear el seguimiento del estado de indexación de todas sus páginas.	FouDroyer ti consente di indicizzare alla velocità della luce e tenere traccia dello stato di indicizzazione di tutte le pagine.	Foudroyer를 사용하면 Lightning 속도로 인덱스하고 모든 페이지의 인덱싱 상태를 추적 할 수 있습니다.	Foudroyer позволяет индексировать с молниеносной скоростью и отслеживать состояние индексации всех ваших страниц.	Foudroyer, yıldırım hızında indeksleme yapmanızı ve tüm sayfalarınızın indekslenme durumunu takip etmenizi sağlar.	Foudroyer ermöglicht Ihnen eine blitzschnelle Indizierung und die Verfolgung des Indizierungsstatus aller Ihrer Seiten.										
signin/builder/title	Create your optimized sites in less than 5 minutes	Créez vos sites optimisés en moins de 5 minutes	Crie seus sites otimizados em menos de 5 minutos	Crea tus sitios optimizados en menos de 5 minutos	Crea i tuoi siti ottimizzati in meno di 5 minuti	5 분 이내에 최적화 된 사이트를 만듭니다	Создание оптимизированных сайтов менее чем за 5 минут	Optimize edilmiş sitelerinizi 5 dakikadan kısa sürede oluşturun	Erstellen Sie Ihre optimierten Websites in weniger als 5 Minuten										
